model,run,seed,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae
ElasticNet,1,11,0.4559775434023974,0.455506703728514,17.545274994093607,17.600633717725053,13.915838686928652,13.981072744572801
ElasticNet,2,23,0.4581344197064371,0.44682548321005944,17.525881070529103,17.677956639000737,13.908161106908945,13.987536327069147
ElasticNet,3,37,0.45475670589378603,0.460377961619579,17.564017436730595,17.525417494594283,13.932662190485463,13.913894850745509
ElasticNet,4,49,0.45332255594272675,0.46597285498073315,17.585903477533904,17.438193892841422,13.953816045638021,13.834632662099294
ElasticNet,5,61,0.4575127139549341,0.44929927625417576,17.542909255793628,17.610210609394468,13.920464348152263,13.942466508505094
RandomForest,1,11,0.49904963896873866,0.46698369266268036,16.83639525651844,17.414150142861224,13.400587766180513,13.866691800456564
RandomForest,2,23,0.5015711142350907,0.45585268195450246,16.808760119519448,17.53312092937716,13.391091266148996,13.87640517523539
RandomForest,3,37,0.49774222650010425,0.47275983367482777,16.857455684423282,17.323186370692717,13.421577988273887,13.791849875176924
RandomForest,4,49,0.49661410909341985,0.4761491607453098,16.87522713216842,17.27124550885129,13.444243286489995,13.716578672162578
RandomForest,5,61,0.5008759580099227,0.45876778974616705,16.827169893457466,17.458162988045903,13.402233193142344,13.850617145385904
